version,gas_type,gas_name,leak_present,severity,severity_name,gas_confidence,leak_probability,severity_confidence,ppm_estimate,inference_time_us,voltages,payload_size,source_board,actual_gas_type,actual_gas_name,actual_severity,actual_severity_name
1,2,lpg,1,2,medium,1.0,1.0,1.0,982,700,"[1.776, 1.966, 1.155, 1.676, 1.814, 1.596, 1.501, 3.346]",32,Board10,2,lpg,2,medium
1,0,normal,0,0,normal,1.0,0.0,1.0,0,700,"[0.002, 0.001, 0.265, 0.002, 0.113, 0.003, 0.001, 1.554]",32,Board10,0,normal,0,normal
1,0,normal,0,0,normal,1.0,0.0,1.0,0,700,"[0.002, 0.001, 0.239, 0.002, 0.104, 0.003, 0.001, 1.547]",32,Board10,0,normal,0,normal
1,1,methane,1,3,high,1.0,1.0,1.0,990,700,"[1.719, 1.965, 0.56, 1.737, 1.823, 1.641, 1.527, 3.249]",32,Board10,1,methane,3,high
1,2,lpg,1,2,medium,1.0,1.0,1.0,982,700,"[1.772, 1.966, 1.233, 1.675, 1.818, 1.588, 1.51, 3.345]",32,Board10,2,lpg,2,medium
1,1,methane,1,1,low,1.0,1.0,0.725,975,700,"[1.715, 1.968, 0.988, 1.703, 1.815, 1.581, 1.486, 3.259]",32,Board10,1,methane,1,low
1,2,lpg,1,1,low,0.975,1.0,1.0,963,700,"[1.703, 1.969, 1.28, 1.646, 1.818, 1.557, 1.473, 3.328]",32,Board10,2,lpg,1,low
1,2,lpg,1,1,low,1.0,1.0,0.983,970,700,"[1.717, 1.969, 1.323, 1.653, 1.817, 1.577, 1.475, 3.332]",32,Board10,2,lpg,1,low
1,2,lpg,1,3,high,1.0,1.0,1.0,998,700,"[1.837, 1.967, 1.141, 1.704, 1.812, 1.63, 1.525, 3.349]",32,Board10,2,lpg,3,high
1,0,normal,0,0,normal,1.0,0.0,1.0,0,700,"[0.002, 0.002, 0.262, 0.002, 0.125, 0.003, 0.001, 1.56]",32,Board10,0,normal,0,normal
